index,created at,text,sentiment,subjectivity
65,29/4/2018 3:53,Yap semoga DS Najib pun akan sedar akn kesilapannya yg begitu perit ditanggung oleh rakyat,0,0
66,29/4/2018 3:53,Prestasi prabowo.. Meloloskan jokowi ahok jd gub dki dn berhasil.. Lalu apa bal… #RakyatB3rsamaJKW,0,0
68,29/4/2018 3:52,Mahkamah pun najib kawal kucing,0,0
72,29/4/2018 3:52,at least rakyat tak sakit waktu tun memerintah. najib? anak beranak kaya rakyat tak k…,-0.3,0.4
74,29/4/2018 3:52,"Najib We stick around, they hop around   #GE14 #MalaysiaMemilih https//t.co/Mr7cn3YWnq",0,0
79,29/4/2018 3:51,Anak2 dpt project dlm negara wujudkan peluang kerja utk rakyat. DS najib hutang luar kema…,0,0
82,29/4/2018 3:49,"The problem with Opposition today

1) U only present urself as alternate to BN. U dont give voters a POSITIVE REASON to vote…",0.056818182,0.386363636
83,29/4/2018 3:49,#WARISAN #HARAPAN #PARLIMEN #LIBARAN #UMNO #UBAH #NAJIB https//t.co/1aV5X0dLtM,0,0
89,29/4/2018 3:47,Trump must be proud. Trump tarik redneck. Najib tarik mak cik temah. https//t.co/TcDtuIzcdq,0.8,1
93,29/4/2018 3:46,Sebab tu PRU 14 ni kita kena tolak UMNO dan PAS. Satu parti mainkan isu sentimen perkauman. Satu parti lagi mainkan isu sentimen keagamaan. Untuk kepentingan masing-masing. Satu undi utk PAS ialah satu undi utk UMNO. Satu undi utk UMNO ialah satu undi utk Najib &amp; Jho Low.,0,0.3
98,29/4/2018 3:46,Najib,0,0
101,Sun Apr 29 04:08:08 +0000 2018,"b'RT @denemles: @anassshisham @AzmawiAzizan Jgn risau, bro. Kalo DAP pun PAS xmau, apatahlagi BN. \n\nTapi yg patut korang risau adalah Tun M.'",0,0
101,Sun Apr 29 04:08:08 +0000 2018,"b'RT @denemles: @anassshisham @AzmawiAzizan Jgn risau, bro. Kalo DAP pun PAS xmau, apatahlagi BN. \n\nTapi yg patut korang risau adalah Tun M.'",0,0
101,Sun Apr 29 04:08:31 +0000 2018,"b'SISTEM PENDIDIKAN NEGARA DEKAT DI HATI NAJIB RAZAK,PM https://t.co/szYT6kn2sr https://t.co/mAecKRYx5m'",0,0
101,Sun Apr 29 04:08:31 +0000 2018,"b'SISTEM PENDIDIKAN NEGARA DEKAT DI HATI NAJIB RAZAK,PM https://t.co/szYT6kn2sr https://t.co/mAecKRYx5m'",0,0
101,Sun Apr 29 04:08:44 +0000 2018,b'RT @RizaTann: The problem with Opposition today:\n\n1) U only present urself as alternate to BN. U dont give voters a POSITIVE REASON to vote',0.056818182,0.386363636
101,Sun Apr 29 04:08:44 +0000 2018,b'RT @RizaTann: The problem with Opposition today:\n\n1) U only present urself as alternate to BN. U dont give voters a POSITIVE REASON to vote',0.056818182,0.386363636
101,Sun Apr 29 04:08:46 +0000 2018,b'#undinegaraku #PRU14 #GE14 https://t.co/DdD1JrO025',0,0
101,Sun Apr 29 04:08:46 +0000 2018,b'#undinegaraku #PRU14 #GE14 https://t.co/DdD1JrO025',0,0
101,Sun Apr 29 04:08:49 +0000 2018,b'RT @TheRakyatRasmi: Pembangkang licik lari ke tempat selamat - PM Najib - https://t.co/3kVm36ioIK #therakyat',0,0
101,Sun Apr 29 04:08:49 +0000 2018,b'RT @TheRakyatRasmi: Pembangkang licik lari ke tempat selamat - PM Najib - https://t.co/3kVm36ioIK #therakyat',0,0
101,Sun Apr 29 04:08:58 +0000 2018,"b'RT @sabatinidzue: Suami ckp smlm masa Solat Jumaat\n\nHabis solat, Imam baca doa.\n\nDah elok bahasa Arab, tiba - tiba..\n\nYa Allah, bantulah D'",0,0
101,Sun Apr 29 04:08:58 +0000 2018,"b'RT @sabatinidzue: Suami ckp smlm masa Solat Jumaat\n\nHabis solat, Imam baca doa.\n\nDah elok bahasa Arab, tiba - tiba..\n\nYa Allah, bantulah D'",0,0
101,Sun Apr 29 04:09:12 +0000 2018,b'RT @amirulruslan: Bloomberg Businessweeks Najib cover is a masterpiece of layout design journalism. https://t.co/4U3zR5VVHp',0,0
101,Sun Apr 29 04:09:12 +0000 2018,b'RT @amirulruslan: Bloomberg Businessweeks Najib cover is a masterpiece of layout design journalism. https://t.co/4U3zR5VVHp',0,0
101,Sun Apr 29 04:09:15 +0000 2018,b'RT @TheRakyatRasmi: Pembangkang licik lari ke tempat selamat - PM Najib - https://t.co/3kVm36ioIK #therakyat',0,0
101,Sun Apr 29 04:09:15 +0000 2018,b'RT @TheRakyatRasmi: Pembangkang licik lari ke tempat selamat - PM Najib - https://t.co/3kVm36ioIK #therakyat',0,0
101,Sun Apr 29 04:09:17 +0000 2018,b'RT @amirulruslan: Bloomberg Businessweeks Najib cover is a masterpiece of layout design journalism. https://t.co/4U3zR5VVHp',0,0
101,Sun Apr 29 04:09:17 +0000 2018,b'RT @amirulruslan: Bloomberg Businessweeks Najib cover is a masterpiece of layout design journalism. https://t.co/4U3zR5VVHp',0,0
101,Sun Apr 29 04:09:35 +0000 2018,"b'RT @msiadecides: #PAS PUNYAI 80% PELUANG MENANG SAMAN TERHADAP @sarawak_report \n\nPada Ogos 2016, blog itu mendakwa #Hadi menerima RM90 juta'",0,0
101,Sun Apr 29 04:09:35 +0000 2018,"b'RT @msiadecides: #PAS PUNYAI 80% PELUANG MENANG SAMAN TERHADAP @sarawak_report \n\nPada Ogos 2016, blog itu mendakwa #Hadi menerima RM90 juta'",0,0
101,Sun Apr 29 04:09:41 +0000 2018,"b'RT @NaezaFinaz: @NajibRazak Ni ke cara Najib berkempen?Macam kempen ketua darjah sekolah rendah jer guna taktik hina pihak lawan.Oh ya lah,'",0,0
101,Sun Apr 29 04:09:41 +0000 2018,"b'RT @NaezaFinaz: @NajibRazak Ni ke cara Najib berkempen?Macam kempen ketua darjah sekolah rendah jer guna taktik hina pihak lawan.Oh ya lah,'",0,0
101,Sun Apr 29 04:09:43 +0000 2018,b'RT @TheRakyatRasmi: Pembangkang licik lari ke tempat selamat - PM Najib - https://t.co/3kVm36ioIK #therakyat',0,0
101,Sun Apr 29 04:09:43 +0000 2018,b'RT @TheRakyatRasmi: Pembangkang licik lari ke tempat selamat - PM Najib - https://t.co/3kVm36ioIK #therakyat',0,0
101,Sun Apr 29 04:09:46 +0000 2018,b'RT @bambaking: Najib is literally promising flying cars now. https://t.co/X3pV3Oty4f',0.2,0.5
101,Sun Apr 29 04:09:46 +0000 2018,b'RT @bambaking: Najib is literally promising flying cars now. https://t.co/X3pV3Oty4f',0.2,0.5
101,Sun Apr 29 04:09:59 +0000 2018,b'why you always pakai blusher  https://t.co/azdQJAVbtI',0,0
101,Sun Apr 29 04:09:59 +0000 2018,b'why you always pakai blusher  https://t.co/azdQJAVbtI',0,0
101,Sun Apr 29 04:10:02 +0000 2018,"b'RT @Abam_Win: #undinegaraku Drama minta simpati. Kedai roti lingkup la, ada orang sabotaj la. Pasal pesawat kena sabotaj tu, rupanya tayar'",0,0
101,Sun Apr 29 04:10:02 +0000 2018,"b'RT @Abam_Win: #undinegaraku Drama minta simpati. Kedai roti lingkup la, ada orang sabotaj la. Pasal pesawat kena sabotaj tu, rupanya tayar'",0,0
101,Sun Apr 29 04:10:46 +0000 2018,b'RT @bongkersz: Yang penting Najib bangga.\n\nhttps://t.co/H3x3CdheNY',0,0
101,Sun Apr 29 04:10:46 +0000 2018,b'RT @bongkersz: Yang penting Najib bangga.\n\nhttps://t.co/H3x3CdheNY',0,0
